No,MAE,channels,modelbody,scenario
1,nan,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:2 8:4 9:8 ,from:0 to:1 operator:12  from:0 to:3 operator:17  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:12  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:5 to:9 operator:13  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,146
2,nan,0:1 1:1 2:1 3:2 4:2 5:2 6:3 7:5 8:7 9:9 ,from:0 to:1 operator:12  from:0 to:3 operator:16  from:1 to:2 operator:-1  from:1 to:6 operator:3  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:12  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:5 to:7 operator:11  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,124
3,nan,0:1 1:1 2:1 3:2 4:2 5:2 6:3 7:3 8:3 9:5 ,from:0 to:1 operator:12  from:0 to:3 operator:16  from:0 to:6 operator:9  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,134
4,0.4525998,0:1 1:1 2:1 3:2 4:2 5:2 6:3 7:1 8:5 9:9 ,from:0 to:1 operator:12  from:0 to:3 operator:11  from:1 to:2 operator:-1  from:1 to:6 operator:3  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:12  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:5 to:8 operator:-1  from:5 to:9 operator:9  from:6 to:7 operator:7  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,12
5,0.401563409,0:1 1:1 2:1 3:2 4:2 5:4 6:4 7:4 8:4 9:7 ,from:0 to:1 operator:12  from:0 to:3 operator:11  from:0 to:9 operator:10  from:1 to:2 operator:-1  from:2 to:3 operator:7  from:3 to:4 operator:-1  from:3 to:5 operator:13  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,126
6,0.395445893,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:2 8:4 9:6 ,from:0 to:1 operator:12  from:0 to:3 operator:11  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:12  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,134
7,0.372495578,0:1 1:1 2:1 3:2 4:2 5:3 6:3 7:8 8:8 9:18 ,from:0 to:1 operator:-1  from:0 to:3 operator:5  from:1 to:2 operator:-1  from:1 to:5 operator:7  from:1 to:7 operator:13  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:7 operator:5  from:4 to:5 operator:-1  from:4 to:7 operator:-1  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:10  from:8 to:9 operator:8  ,14
8,0.348921641,0:1 1:1 2:1 3:2 4:2 5:3 6:3 7:8 8:8 9:8 ,from:0 to:1 operator:-1  from:0 to:3 operator:5  from:1 to:2 operator:-1  from:1 to:5 operator:7  from:1 to:7 operator:13  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:7 operator:5  from:4 to:5 operator:-1  from:4 to:7 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:8  ,145
9,0.348810157,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:2 8:2 9:4 ,from:0 to:1 operator:12  from:0 to:3 operator:11  from:1 to:2 operator:13  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,14
10,0.345324467,0:1 1:1 2:1 3:2 4:3 5:4 6:7 7:7 8:7 9:18 ,from:0 to:1 operator:12  from:0 to:3 operator:11  from:0 to:9 operator:10  from:1 to:2 operator:-1  from:1 to:5 operator:10  from:2 to:3 operator:-1  from:2 to:4 operator:11  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:6 operator:8  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:12  from:8 to:9 operator:-1  ,134
11,0.314938342,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:2 8:5 9:5 ,from:0 to:1 operator:12  from:0 to:3 operator:11  from:0 to:8 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:13  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:5 to:8 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:11  from:7 to:8 operator:-1  from:8 to:9 operator:1  ,14
12,0.291476444,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:2 8:4 9:6 ,from:0 to:1 operator:12  from:0 to:3 operator:11  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,14
13,0.269736829,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:2 8:3 9:5 ,from:0 to:1 operator:12  from:0 to:3 operator:11  from:1 to:2 operator:13  from:1 to:8 operator:9  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,134
14,0.265596001,0:1 1:1 2:1 3:2 4:3 5:4 6:7 7:8 8:8 9:20 ,from:0 to:1 operator:12  from:0 to:3 operator:11  from:0 to:9 operator:10  from:1 to:2 operator:-1  from:1 to:5 operator:10  from:2 to:3 operator:-1  from:2 to:4 operator:11  from:2 to:7 operator:3  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:6 operator:8  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:12  from:8 to:9 operator:-1  ,146
15,0.25214364296005,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:7 operator:-1  from:5 to:6 operator:-1  from:5 to:9 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:8  ,14
16,0.251282088,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:2 8:2 9:4 ,from:0 to:1 operator:12  from:0 to:3 operator:11  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,1
17,0.24406292,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:9 operator:10  from:4 to:5 operator:-1  from:4 to:7 operator:-1  from:5 to:6 operator:-1  from:5 to:9 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:8  ,4
18,0.240805515,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:4 8:6 9:8 ,from:0 to:1 operator:12  from:0 to:3 operator:11  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:12  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:5 to:7 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,4
