No,MAE,channels,modelbody
1,nan,0:1 1:1 2:2 3:2 4:4 5:5 6:5 7:7 8:12 9:18 ,from:0 to:1 operator:-1  from:0 to:2 operator:2  from:0 to:5 operator:13  from:0 to:9 operator:9  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:14  from:2 to:7 operator:10  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:14  from:7 to:8 operator:14  from:8 to:9 operator:-1  
2,nan,0:1 1:1 2:2 3:2 4:3 5:3 6:3 7:5 8:5 9:11 ,from:0 to:1 operator:-1  from:0 to:2 operator:7  from:0 to:4 operator:13  from:0 to:9 operator:12  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:7 operator:14  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:14  from:8 to:9 operator:-1  
3,0.821071588,0:1 1:1 2:2 3:2 4:4 5:5 6:7 7:9 8:21 9:28 ,from:0 to:1 operator:-1  from:0 to:2 operator:3  from:0 to:5 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:14  from:2 to:7 operator:10  from:3 to:4 operator:-1  from:3 to:6 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:-1  from:6 to:7 operator:-1  from:6 to:8 operator:8  from:6 to:9 operator:14  from:7 to:8 operator:14  from:8 to:9 operator:-1  
4,0.774008891,0:1 1:1 2:2 3:2 4:2 5:2 6:4 7:6 8:12 9:18 ,from:0 to:1 operator:-1  from:0 to:2 operator:7  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:12  from:3 to:7 operator:14  from:4 to:5 operator:-1  from:4 to:8 operator:13  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:8 operator:13  from:7 to:8 operator:-1  from:7 to:9 operator:14  from:8 to:9 operator:-1  
5,0.5300858,0:1 1:1 2:2 3:2 4:4 5:5 6:5 7:7 8:12 9:17 ,from:0 to:1 operator:-1  from:0 to:2 operator:3  from:0 to:5 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:14  from:2 to:7 operator:10  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:10  from:7 to:8 operator:14  from:8 to:9 operator:-1  
6,0.486066609,0:1 1:1 2:2 3:2 4:2 5:2 6:2 7:6 8:8 9:14 ,from:0 to:1 operator:-1  from:0 to:2 operator:7  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:7 operator:14  from:4 to:5 operator:-1  from:4 to:7 operator:13  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:8 operator:13  from:7 to:8 operator:-1  from:7 to:9 operator:14  from:8 to:9 operator:-1  
7,0.403694316,0:1 1:1 2:2 3:2 4:2 5:2 6:4 7:8 8:14 9:22 ,from:0 to:1 operator:-1  from:0 to:2 operator:7  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:12  from:3 to:7 operator:14  from:4 to:5 operator:-1  from:4 to:7 operator:8  from:4 to:8 operator:13  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:8 operator:13  from:7 to:8 operator:-1  from:7 to:9 operator:14  from:8 to:9 operator:-1  
8,0.401098422,0:1 1:1 2:1 3:1 4:2 5:3 6:3 7:4 8:7 9:10 ,from:0 to:1 operator:-1  from:0 to:5 operator:13  from:1 to:2 operator:-1  from:1 to:7 operator:4  from:2 to:3 operator:-1  from:2 to:4 operator:14  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:14  from:7 to:8 operator:14  from:8 to:9 operator:-1  
9,0.350366672,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:2 8:2 9:7 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:5 operator:14  from:3 to:4 operator:-1  from:3 to:9 operator:4  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:9 operator:14  from:6 to:7 operator:-1  from:6 to:9 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
10,0.344325492,0:1 1:1 2:2 3:2 4:2 5:2 6:4 7:6 8:10 9:16 ,from:0 to:1 operator:-1  from:0 to:2 operator:7  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:12  from:3 to:7 operator:14  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:8 operator:13  from:7 to:8 operator:-1  from:7 to:9 operator:14  from:8 to:9 operator:-1  
11,0.309778239,0:1 1:1 2:1 3:1 4:2 5:2 6:4 7:4 8:7 9:12 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:14  from:2 to:9 operator:9  from:3 to:4 operator:-1  from:3 to:6 operator:7  from:3 to:8 operator:6  from:4 to:5 operator:-1  from:4 to:6 operator:1  from:5 to:6 operator:-1  from:5 to:8 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:14  from:7 to:8 operator:14  from:8 to:9 operator:-1  
12,0.296861397,0:1 1:1 2:1 3:2 4:2 5:3 6:3 7:3 8:8 9:11 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:-1  from:2 to:5 operator:14  from:3 to:4 operator:13  from:4 to:5 operator:-1  from:4 to:8 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:14  from:5 to:9 operator:14  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
